Compte_key_Payeur,client_total_montant,client_moy_montant_cheque,client_max_montant_cheque,client_min_montant_cheque,client_freq_transactions,client_nb_operations_distinctes,client_recence,client_nb_paiements_fractionnes_records,client_score_fragmentation,Segment,pca1,pca2,Cluster_Hc_client,Niveau_Risque_hc_client,Cluster_Kmeans_client,Niveau_Risque_Kmeans_client
302,36155.78,1663.7186666666666,1741.156,1600.0,22,2,8,3,11.0,Inconnu,0.6691375612016911,-0.17914111786509787,0,Client Cluster HC 1,0,Client Cluster KMeans 1
514,448.07,48.8325,66.65,31.015,11,2,76,2,5.5,Particulier,-0.5788798620969905,-0.14683846886527357,0,Client Cluster HC 1,0,Client Cluster KMeans 1
566,6228.52,110.23666666666666,400.0,31.42,101,6,4,6,16.833333333333332,Particulier,1.9801637817631057,2.9078172528279507,0,Client Cluster HC 1,0,Client Cluster KMeans 1
610,6933.0,148.33333333333334,500.0,60.0,54,8,1,9,6.75,Particulier,1.4580442458679226,2.155998516854108,0,Client Cluster HC 1,0,Client Cluster KMeans 1
649,192.6,32.1,34.2,30.0,6,1,293,2,6.0,Particulier,-0.7454783599604439,-0.33081367114427085,0,Client Cluster HC 1,0,Client Cluster KMeans 1
959,429816.489,12161.561,50000.0,30.927,67,7,7,7,9.571428571428571,Inconnu,10.955697208263581,-3.823008608210417,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1239,690.1,40.23333333333333,41.9,38.0,17,3,8,3,5.666666666666667,Particulier,-0.29265797900162865,0.20631010756919288,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1342,13500.0,4500.0,4500.0,4500.0,3,1,434,1,3.0,TPE,0.6538549181948193,-2.1532060657771677,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1465,10531.6,217.44,450.0,17.2,34,5,13,5,6.8,Particulier,0.5161092542310967,0.9707423105326305,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1467,34589.631,2766.625666666667,6090.0,1009.877,13,3,442,3,4.333333333333333,Inconnu,0.9060618591717718,-0.9192627808990369,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1625,3618.0,216.6,369.0,146.0,16,5,120,5,3.2,Particulier,0.0883817711173189,0.4784871407704125,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1676,2200.0,200.0,250.0,150.0,10,2,7,2,5.0,Particulier,-0.5446429924430161,-0.23921510048890304,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1985,2520.0,100.0,200.0,70.0,27,6,22,6,4.5,Particulier,0.43704928826737666,1.0120913472597792,0,Client Cluster HC 1,0,Client Cluster KMeans 1
2430,8000.0,2000.0,2000.0,2000.0,4,1,40,1,4.0,Particulier,-0.1964125529897056,-1.2432083495248798,0,Client Cluster HC 1,0,Client Cluster KMeans 1
3187,2040.0,340.0,340.0,340.0,6,1,28,1,6.0,Particulier,-0.7190267574956367,-0.5511314094573689,0,Client Cluster HC 1,0,Client Cluster KMeans 1
3344,7586.298,210.1445,880.11,19.832,54,6,0,6,9.0,Professional,1.0958408805382922,1.642333051125877,0,Client Cluster HC 1,0,Client Cluster KMeans 1
3375,1010.0,96.66666666666667,150.0,70.0,11,3,340,3,3.6666666666666665,Particulier,-0.4197323407127085,-0.013715773546366284,0,Client Cluster HC 1,0,Client Cluster KMeans 1
3701,6000.0,1500.0,1500.0,1500.0,4,1,463,1,4.0,Particulier,-0.38230364540658224,-1.0724560204101774,0,Client Cluster HC 1,0,Client Cluster KMeans 1
3789,20854.547,600.3698888888889,849.595,109.625,36,9,6,9,4.0,Inconnu,1.4011769239277183,1.7096167298642462,0,Client Cluster HC 1,0,Client Cluster KMeans 1
3985,18000.0,1500.0,2000.0,1000.0,12,2,203,2,6.0,Particulier,0.06956903091768776,-0.5933056852545256,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4084,1200.0,300.0,300.0,300.0,4,1,484,1,4.0,Particulier,-0.8284422672070859,-0.6626504305348919,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4166,1560.775,162.9125,240.0,85.825,11,2,71,2,5.5,Particulier,-0.5328094501295182,-0.18356708248986867,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4176,42400.0,1875.0,2200.0,1500.0,22,4,26,4,5.5,Particulier,0.9016242973032996,-0.13045435192622004,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4189,825.0,165.0,165.0,165.0,5,1,92,1,5.0,Particulier,-0.8327033661339204,-0.5536904219418948,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4254,3185.88,56.96888888888889,120.0,45.0,60,8,13,9,7.5,Particulier,1.4937894901434376,2.348645866167927,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4285,540.0,180.0,180.0,180.0,3,1,609,1,3.0,Particulier,-0.9191007067100008,-0.6845038419055041,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4296,1800.0,250.0,300.0,200.0,7,2,64,2,3.5,Particulier,-0.6207110682560874,-0.37763996943207895,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4301,141.705,47.235,47.235,47.235,3,1,643,1,3.0,Inconnu,-0.9674417839184472,-0.6393667468239482,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4308,1200.0,400.0,400.0,400.0,3,1,362,1,3.0,Particulier,-0.8389964850713293,-0.7592988625656351,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4338,8019.621,381.887,381.889,381.885,21,2,13,2,10.5,TPE,-0.10659334790236347,0.13647425662750032,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4397,1009.04,252.26,252.26,252.26,4,1,69,1,4.0,Particulier,-0.8461911487110493,-0.64634699815102,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4549,5690.0,346.0,500.0,100.0,16,5,0,5,3.2,Particulier,0.12769869320346774,0.45500303813091086,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4576,21600.0,450.0,650.0,250.0,48,2,28,2,24.0,Particulier,0.8266638020626971,1.2041907380972985,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4591,5640.0,940.0,940.0,940.0,6,1,305,1,6.0,Particulier,-0.4867509428239979,-0.7578669543059462,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4650,1452.0,363.0,363.0,363.0,4,1,425,1,4.0,Particulier,-0.8050199895625595,-0.6841652240033443,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4725,1290.0,56.666666666666664,100.0,30.0,18,3,147,3,6.0,Particulier,-0.25623250765220273,0.23317904343951432,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4748,1407.0,114.25,200.0,36.0,13,4,257,4,3.25,Particulier,-0.20530941520284818,0.23583805221452014,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4752,2523.0,69.42857142857143,150.0,41.0,38,7,13,7,5.428571428571429,Particulier,0.8111404986629239,1.5011546074527446,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4757,1320.0,120.0,120.0,120.0,11,1,182,1,11.0,Particulier,-0.5762732955370953,-0.16070033707778628,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4836,2415.6,63.2375,200.0,30.0,47,8,53,8,5.875,Professional,1.1543134574930434,1.9188149058150314,0,Client Cluster HC 1,0,Client Cluster KMeans 1
4933,11591.6,215.65714285714284,625.0,50.0,42,7,29,7,6.0,Particulier,1.0239659847741145,1.5300051749420052,0,Client Cluster HC 1,0,Client Cluster KMeans 1
5174,1598.8,93.26666666666667,129.8,70.0,17,3,7,3,5.666666666666667,Particulier,-0.2667618562677571,0.18720670976451081,0,Client Cluster HC 1,0,Client Cluster KMeans 1
5225,1749.0,83.3,100.0,50.0,21,5,1,5,4.2,Particulier,0.12617525422051937,0.6683826108542269,0,Client Cluster HC 1,0,Client Cluster KMeans 1
5528,2400.0,800.0,800.0,800.0,3,1,34,1,3.0,Particulier,-0.6933524457282905,-0.8952898092204187,0,Client Cluster HC 1,0,Client Cluster KMeans 1
5539,1157.375,115.7375,210.0,21.475,10,2,5,2,5.0,Particulier,-0.5824128593192984,-0.20694726171021835,0,Client Cluster HC 1,0,Client Cluster KMeans 1
5543,1026.0,342.0,342.0,342.0,3,1,6,1,3.0,Particulier,-0.86011487077607,-0.7395801753006914,0,Client Cluster HC 1,0,Client Cluster KMeans 1
5560,1000.0,150.0,200.0,100.0,7,2,75,2,3.5,Particulier,-0.660958121329925,-0.3428785869721603,0,Client Cluster HC 1,0,Client Cluster KMeans 1
5561,8539.407,946.4116666666665,1588.263,21.702,10,3,4,3,3.3333333333333335,TPE,-0.14777507894904623,-0.27047150580780094,0,Client Cluster HC 1,0,Client Cluster KMeans 1
5643,1761.0,293.5,500.0,87.0,6,2,172,2,3.0,Particulier,-0.6398301312051017,-0.4243895576315948,0,Client Cluster HC 1,0,Client Cluster KMeans 1
5886,980.0,75.0,100.0,50.0,13,4,110,4,3.25,Particulier,-0.22145297328872132,0.24733326028082242,0,Client Cluster HC 1,0,Client Cluster KMeans 1
5888,606.0,202.0,202.0,202.0,3,1,434,1,3.0,Particulier,-0.9110902845461336,-0.6919833439715172,0,Client Cluster HC 1,0,Client Cluster KMeans 1
6014,6097.706,139.83911111111112,400.0,30.0,57,9,48,9,6.333333333333333,Particulier,1.5684124403215605,2.3261255326545083,0,Client Cluster HC 1,0,Client Cluster KMeans 1
6097,30084.725,309.06170588235295,1392.129,31.42,118,16,7,17,7.375,Particulier,4.2591122372922605,5.109187736017698,0,Client Cluster HC 1,0,Client Cluster KMeans 1
6270,4897.6,136.6888888888889,330.0,20.0,36,8,25,9,4.5,Particulier,1.0773153332922716,1.7472538342346067,0,Client Cluster HC 1,0,Client Cluster KMeans 1
6334,3039.92,129.496,150.0,97.48,24,5,57,5,4.8,Particulier,0.21604522866343018,0.7324810461551712,0,Client Cluster HC 1,0,Client Cluster KMeans 1
6395,3208.24,179.265,500.0,20.0,15,4,56,4,3.75,Particulier,-0.1110677883964102,0.2628851843699596,0,Client Cluster HC 1,0,Client Cluster KMeans 1
